=== Final GESTURE Training with Maximum Regularization ===
Job started: Wed Jul 16 11:23:16 PM EDT 2025
Node: qa-a10-034.crc.nd.edu
Job ID: 1898816
Loading python/3.12.11
  Loading requirement: tcl/8.6.12
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
✅ Final training environment ready!
=== Starting Final Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
=== Final GESTURE Dataset Training with Maximum Regularization ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 68451 samples from 177 seizures
Class distribution: GTCS=36413, FOS=32038
Dataset created: 7862 samples from 35 seizures
Class distribution: GTCS=4065, FOS=3797
Class weights: tensor([1.0683, 0.9399], device='cuda:0')
Model parameters: 58,371
------------------------------------------------------------
  Batch 3420/8556, Loss: 1.0138
  Batch 3440/8556, Loss: 1.0284
  Batch 3460/8556, Loss: 0.7776
  Batch 3480/8556, Loss: 0.7463
  Batch 3500/8556, Loss: 0.5992
  Batch 3520/8556, Loss: 0.6092
  Batch 3540/8556, Loss: 0.2493
  Batch 3560/8556, Loss: 0.8694
  Batch 3580/8556, Loss: 0.4840
  Batch 3600/8556, Loss: 0.6383
  Batch 3620/8556, Loss: 0.3888
  Batch 3640/8556, Loss: 0.6024
  Batch 3660/8556, Loss: 0.6354
  Batch 3680/8556, Loss: 1.2351
  Batch 3700/8556, Loss: 1.5559
  Batch 3720/8556, Loss: 0.4844
  Batch 3740/8556, Loss: 1.0514
  Batch 3760/8556, Loss: 0.4367
  Batch 3780/8556, Loss: 0.4612
  Batch 3800/8556, Loss: 1.2190
  Batch 3820/8556, Loss: 0.4185
  Batch 3840/8556, Loss: 0.1184
  Batch 3860/8556, Loss: 0.9741
  Batch 3880/8556, Loss: 0.6492
  Batch 3900/8556, Loss: 0.5891
  Batch 3920/8556, Loss: 1.5098
  Batch 3940/8556, Loss: 0.6590
  Batch 3960/8556, Loss: 0.3960
  Batch 3980/8556, Loss: 0.1861
  Batch 4000/8556, Loss: 0.4544
  Batch 4020/8556, Loss: 0.4590
  Batch 4040/8556, Loss: 0.7718
  Batch 4060/8556, Loss: 0.9271
  Batch 4080/8556, Loss: 0.8320
  Batch 4100/8556, Loss: 1.0554
  Batch 4120/8556, Loss: 0.4388
  Batch 4140/8556, Loss: 1.1780
  Batch 4160/8556, Loss: 0.2226
  Batch 4180/8556, Loss: 0.3812
  Batch 4200/8556, Loss: 0.7819
  Batch 4220/8556, Loss: 0.5146
  Batch 4240/8556, Loss: 1.2023
